City_ID,City,Country,Max Temp,Current,Lat,Lng,Hotel Name
600,Dwarka,IN,80.4,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
602,Chabahar,IR,78.01,clear sky,25.2919,60.643,هتل گدروشیا
603,Taraza,CO,89.87,overcast clouds,7.5836,-75.4007,Hotel Monteverde
611,Sola,VU,79.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
613,Sorong,ID,78.67,overcast clouds,-0.8833,131.25,waigo splash hotel
615,Weligama,LK,78.57,few clouds,5.9667,80.4167,Weligama Bay Resort
625,Sur,OM,81.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
632,Sitamau,IN,87.01,scattered clouds,24.0167,75.35,Hotel Kisna
634,Dhidhdhoo,MV,83.59,scattered clouds,6.8833,73.1,Dhidhoo beach
641,Minab,IR,77.0,clear sky,27.1467,57.0801,Bam campground
643,Santo Antonio Do Ica,BR,88.11,overcast clouds,-3.1022,-67.9397,Hotel Fogaça
644,Puerto Escondido,MX,86.74,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
647,Roma,US,75.99,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
651,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
652,Martapura,ID,77.0,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
660,Mecca,SA,78.31,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
664,Bubaque,GW,77.63,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
668,Sabang,ID,83.86,broken clouds,5.8933,95.3214,Hotel Citra
670,Omboue,GA,78.4,overcast clouds,-1.5746,9.2618,Hotel Olako
686,Mangrol,IN,79.84,clear sky,21.1167,70.1167,Hotel The Royal Honours
687,Buala,SB,78.85,light rain,-8.145,159.5921,Maringe Lagoon Lodge
