City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current
600,Dwarka,22.2394,68.9678,80.4,68,0,14.92,IN,2021-04-10 18:07:13,clear sky
601,Zhangye,38.9342,100.4517,51.48,36,93,2.19,CN,2021-04-10 18:07:13,overcast clouds
602,Chabahar,25.2919,60.643,78.01,77,0,3.33,IR,2021-04-10 18:07:13,clear sky
603,Taraza,7.5836,-75.4007,89.87,57,86,4.83,CO,2021-04-10 18:07:14,overcast clouds
604,Maniitsoq,65.4167,-52.9,31.42,93,99,4.65,GL,2021-04-10 18:07:14,overcast clouds
605,Nebolchi,59.1239,33.3454,35.46,95,99,5.7,RU,2021-04-10 18:07:14,moderate rain
606,Paamiut,61.994,-49.6678,34.41,88,38,8.97,GL,2021-04-10 18:07:14,scattered clouds
607,Jinchang,38.4953,102.1739,53.26,30,100,5.93,CN,2021-04-10 18:07:15,overcast clouds
608,Walvis Bay,-22.9575,14.5053,75.99,60,0,3.0,NA,2021-04-10 18:03:19,clear sky
609,Lokosovo,61.1333,74.8167,36.18,99,100,6.53,RU,2021-04-10 18:07:15,light rain
610,Kangaatsiaq,68.3065,-53.4641,22.3,77,100,2.21,GL,2021-04-10 18:06:11,overcast clouds
611,Sola,-13.8833,167.55,79.29,76,100,3.71,VU,2021-04-10 18:03:42,overcast clouds
612,Yar-Sale,66.8333,70.8333,25.74,95,61,10.89,RU,2021-04-10 18:07:16,broken clouds
613,Sorong,-0.8833,131.25,78.67,84,100,1.41,ID,2021-04-10 18:04:35,overcast clouds
614,Homer,59.6425,-151.5483,18.0,53,90,9.22,US,2021-04-10 18:02:39,overcast clouds
615,Weligama,5.9667,80.4167,78.57,80,16,0.51,LK,2021-04-10 18:07:16,few clouds
616,Mora,11.0461,14.1401,95.99,14,96,7.7,CM,2021-04-10 18:07:17,overcast clouds
617,Knysna,-34.0363,23.0471,59.0,94,0,4.61,ZA,2021-04-10 18:07:17,clear sky
618,Okhotsk,59.3833,143.3,22.51,93,100,8.46,RU,2021-04-10 18:07:17,light snow
619,Farmington,36.7281,-108.2187,61.0,11,1,3.44,US,2021-04-10 18:04:48,clear sky
620,Kinnelon,41.0018,-74.3671,69.01,56,40,4.61,US,2021-04-10 18:07:17,scattered clouds
621,Baoning,25.3378,110.026,57.2,100,75,1.86,CN,2021-04-10 18:07:18,light rain
622,Krasnoturansk,54.3186,91.5639,28.4,74,0,4.47,RU,2021-04-10 18:07:18,clear sky
623,Alofi,-19.0595,-169.9187,73.4,94,27,5.75,NU,2021-04-10 18:07:18,scattered clouds
624,Edinburg,55.9521,-3.1965,41.0,65,0,2.3,GB,2021-04-10 18:05:15,clear sky
625,Sur,22.5667,59.5289,81.59,64,0,12.12,OM,2021-04-10 18:02:45,clear sky
626,Evensk,61.95,159.2333,5.85,75,100,9.71,RU,2021-04-10 18:03:10,overcast clouds
627,Ercis,39.0287,43.3586,55.4,44,75,12.66,TR,2021-04-10 18:07:19,broken clouds
628,Omaha,41.2586,-95.9378,55.4,62,90,18.41,US,2021-04-10 18:02:56,overcast clouds
629,Itoman,26.1247,127.6694,71.6,73,20,13.8,JP,2021-04-10 18:07:19,few clouds
630,Portoferraio,42.8115,10.3146,55.0,81,90,17.27,IT,2021-04-10 18:07:20,light rain
631,Kijang,35.2442,129.2139,44.6,76,0,3.44,KR,2021-04-10 18:07:20,clear sky
632,Sitamau,24.0167,75.35,87.01,10,25,4.38,IN,2021-04-10 18:07:20,scattered clouds
633,Tyukalinsk,55.8732,72.1967,31.44,90,98,6.04,RU,2021-04-10 18:07:21,overcast clouds
634,Dhidhdhoo,6.8833,73.1,83.59,65,27,3.6,MV,2021-04-10 18:07:21,scattered clouds
635,Dunmore East,52.1514,-6.9861,46.4,46,40,2.3,IE,2021-04-10 18:07:21,scattered clouds
636,Sol-Iletsk,51.1631,54.9918,46.42,80,26,18.32,RU,2021-04-10 18:07:21,scattered clouds
637,Nioro,13.35,-15.75,103.87,10,3,5.41,GM,2021-04-10 18:07:22,clear sky
638,Anadyr,64.75,177.4833,3.2,72,0,4.47,RU,2021-04-10 18:07:22,clear sky
639,Rancho Palos Verdes,33.7445,-118.387,66.0,63,20,9.22,US,2021-04-10 18:07:22,few clouds
640,Chimbote,-9.0853,-78.5783,74.03,75,86,8.5,PE,2021-04-10 18:07:23,overcast clouds
641,Minab,27.1467,57.0801,77.0,61,2,9.22,IR,2021-04-10 18:07:23,clear sky
642,Tortoli,39.9256,9.6572,59.0,94,90,14.97,IT,2021-04-10 18:07:23,overcast clouds
